Point Longitude,Point Latitude,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7
30.48446880309761,31.169468803097608,8542.257551998518,8990.842452715458,10335.968932880844,10271.10608834331,19295.000630517025,14047.413474664185,11232.601745987387
30.520718803097612,31.14785780309761,8672.115410146034,9183.551311522664,10463.319309041226,10526.645892246965,18623.800641950813,14270.421080371043,11617.21526011561
30.562024803097607,31.12696880309761,8544.434921914042,8990.37609634199,10255.755112950037,10271.003404189778,18144.42656861621,13982.809118513656,11294.156588603157
30.643552803097613,31.073802803097607,8591.283191492596,8976.389768909443,10032.113898829246,10254.651182376423,16288.806148396485,13406.079567635094,11230.335728520278
30.73002480309761,31.024496803097612,8399.242974292822,8751.903998481588,9950.633029282642,9760.066596431452,16833.159048315578,12767.169683563541,10464.016435757978
30.803552803097613,31.00935780309761,8463.304379454104,8879.343493619268,9999.528546850277,10031.199686707443,17119.561434033098,12960.102583320433,10593.276526717553
30.786635803097607,30.96119080309761,8527.543620717735,8943.305339170305,9903.664433821174,10080.604359962994,15455.719981987491,12639.849134530288,10911.23465039116
30.79727480309761,30.909274803097606,8478.80023062702,8927.538575277204,9951.134364989368,10078.641145924958,15456.412990409764,12639.941209896642,10913.745924914678
30.811302803097607,30.900385803097606,8478.962481876297,8864.170318102904,9950.581395839476,10015.637111236676,15713.946590112759,12511.179730802516,10719.035130860673
30.84432980309761,30.89721880309761,8559.565633642129,8912.089777307872,9967.35195094991,10095.950947691957,15643.63838616715,12511.652870149666,10849.498904723432
30.872913803097607,30.86949680309761,8623.895203199736,8975.427220360409,9999.751365611117,10223.278447395303,15327.769634384595,12705.053120590797,11038.498537364052
30.89505280309761,30.852246803097607,8799.178947712528,9182.935167547847,10142.006686555804,10590.2085296407,15392.02503164112,13281.889369083668,11550.056640585513
30.92632980309761,30.831635803097612,8815.15481195184,9167.6401214961,10143.30820631379,10654.938457894707,15518.80148234063,13535.339191728071,11712.793316758569
30.95757980309761,30.779079803097613,8862.097672013579,9245.911066645198,10205.94332875509,10719.966990154799,14878.70739497427,13761.061838312611,11935.697006742588
30.99910780309761,30.755329803097613,8782.028150498203,9134.880170489743,10128.123756694722,10529.306037400964,14816.236576561605,13342.88767408853,11550.998108948048
31.03955280309761,30.73169080309761,8839.803829905684,9199.45765094523,10191.55830933557,10607.523856659456,14814.241946637467,13474.09509107749,11616.014607961048
31.08166380309761,30.72385780309761,8944.231525098625,9327.473073238067,10255.303182767175,10783.80768691036,14690.08781803442,13602.091811371076,11936.833456093478
31.09721880309761,30.679635803097607,9006.76935165688,9391.898058540788,10352.093018000667,10976.648276546124,14814.43073610336,14046.454186819834,12383.059155585413
31.139607803097608,30.641357803097613,8776.02581555963,9143.997366321346,10095.448083615152,10543.97514110376,14879.595830107906,13471.339162152484,11614.479680968481
31.17849680309761,30.596357803097607,8679.953833801686,9015.82207806565,9967.80521728179,10191.576355683066,15967.501152658026,13726.123311104671,11408.014159633063
31.203496803097607,30.565440803097612,8807.66167895054,9127.937162327737,10095.961610510203,10415.75455326045,15425.946328570459,13983.605434057501,11807.77968011883
31.22044080309761,30.52757980309761,8912.291965209397,9231.71394734713,10256.291933214663,10592.581375544758,15774.69361398817,14239.637663726273,12127.335273802628
31.260357803097612,30.51438580309761,8871.948082498135,9207.784104232063,10190.489389147806,10479.344488706005,15710.974862532163,13983.26892776989,11869.562597533644
31.30724680309761,30.511524803097608,8751.437160084444,9070.920954838708,10031.86184841701,10207.364620119999,15936.278173506042,13792.47011801869,11486.294463886548
31.340413803097608,30.47885780309761,8623.302208724783,8975.616754010065,10062.860932670637,10079.03158948686,16543.229480944814,13535.82547741071,11230.14501046015
30.847440803097612,31.02607980309761,8543.46444839554,8991.445697344821,10270.301253728487,10335.105757486099,17953.687764905342,13406.053097690816,11037.980969039043
30.890385803097608,31.020357803097607,8606.87026870467,8927.736272025219,10014.61119451215,10272.871221436972,16093.95670232244,12894.828308941249,11039.215260331766
30.88966380309761,31.02066380309761,8543.861171325074,8927.886067652236,10014.638571045496,10272.791575683306,16157.934079508166,12894.844175072598,11039.237439769655
30.92760780309761,30.986079803097606,8656.11265204459,9040.022502812206,10094.687052854932,10479.513311695315,15265.992111019748,13087.642762252002,11360.237332878623
30.97605280309761,30.966413803097613,8527.598806263242,8911.599368547248,9968.007624493088,10223.992828294073,15583.257443798148,12895.678872549352,11039.516386258205
31.02763580309761,30.95755280309761,8464.418762071915,8815.732232515027,9871.69029331778,10031.595591760717,15586.045196197241,12766.528827938107,10784.681520644517
31.08174680309761,30.961413803097606,8495.444576007589,8847.922713236894,9871.725344446233,10032.957325184254,16416.834278800918,13215.125056177973,10975.935602767675
31.138107803097608,30.96485780309761,8910.733836899622,9328.115232077436,10510.99500524449,10910.623447298236,16222.678057112653,14173.129525983748,12131.133409236178
31.21071880309761,30.98010780309761,8783.940123393962,9167.334634262568,10320.089123064467,10526.696030674433,15807.446424380856,13535.931168888206,11553.743617946488
31.26480280309761,30.98652480309761,8591.660863015852,8975.851059317387,10095.237021161327,10271.70245644683,16319.605745906609,13214.913371430854,11105.445773679216
31.257774803097607,31.045607803097607,8527.183399984953,8911.698072170428,10079.617966675205,10146.426285226673,18240.041789816714,13599.741566751572,11039.811943689047
31.27419080309761,31.089413803097607,8271.62517907154,8623.518942261977,9823.50088575403,9631.139420696481,19134.39304776704,13022.40007549283,10463.426565425421
31.32494080309761,31.12813580309761,8591.710588785274,8974.932374427497,10078.519694766508,10337.02112053729,17984.67088467789,13502.564521328326,11296.590565662069
