Point Longitude,Point Latitude,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
30.48446880309761,31.169468803097608,431.3899729582612,495.77734516233124,783.3368085106383,687.8642042903975,1326.9909004207236,2736.627458627757,3407.653369351856,3407.9422637834937,3631.9494738520407,3616.8855457722216,1967.7359815462935,1167.2393379110492
30.520718803097612,31.14785780309761,462.5530010270009,527.1570057094724,847.8281517094019,815.6592047351647,1392.2313211304565,2607.9750662251663,3183.611737163717,3184.1470815656926,3375.4135970154657,3358.266772060514,2063.3419996767357,1359.2974115725933
30.562024803097607,31.12696880309761,408.3093049516132,487.6768724839825,791.7463365008725,727.7602012028132,1335.1056964730135,2607.727379104672,3088.2670170454553,3151.758948193066,3312.0468545888343,3311.6667200666425,1959.3995581606198,1223.5691701329301
30.643552803097613,31.073802803097607,527.390405304871,590.991074930965,847.0258538209843,911.2527706856464,1327.4082754008484,2255.9944535464524,2704.1123700578487,2734.7237257807474,2863.8231855580375,2912.318830312209,1935.4357832054545,1327.0709881841865
30.73002480309761,31.024496803097612,387.03764358894745,431.18387466527935,751.1552250860314,623.2187768240345,1295.257526303664,2479.4643674403396,2895.127832571566,2958.805908040072,3120.1687268946403,3122.4116215004165,1775.5944370860939,1039.4963157134314
30.803552803097613,31.00935780309761,459.52633698685275,503.49183872245203,791.5865345459481,751.3636019815941,1303.4162259451343,2536.1965457754154,3023.6618263564,3087.7510240933643,3246.667394957983,3247.8915437207634,1815.4142849414861,1127.7103823676143
30.786635803097607,30.96119080309761,491.26512496314984,535.4126790303833,791.6983080409979,847.5465047410398,1295.0522421575015,2287.765652871523,2639.6654353696435,2704.6149785508533,2831.366379995841,2800.5364370076627,1839.3350186476907,1295.2492886602174
30.79727480309761,30.909274803097606,463.0671908827259,495.029137551512,783.314697499486,783.6370604514024,1327.6953071275111,2287.739730500677,2671.7711794413526,2735.069813851017,2863.1705702400413,2912.862572563397,1839.892341914305,1262.7368872176296
30.811302803097607,30.900385803097606,462.20234945158126,495.23612972658896,783.2918883859566,783.6012767447389,1359.312494783774,2351.704566756684,2767.895481489766,2831.56854748353,2959.2014296836296,3036.5233489206325,1807.3445511468167,1231.6765388162066
30.84432980309761,30.89721880309761,467.3676620190292,503.3102067345999,791.5614328371976,823.5135802469135,1335.3284971134372,2318.5208834214377,2671.2520368982955,2703.237222976029,2863.7300411838437,2839.7894454862044,1767.557526379057,1239.6164508153672
30.872913803097607,30.86949680309761,459.6702643365242,503.57461349089135,775.6479768467473,855.493151326967,1303.4039595399422,2231.9788798584623,2607.2574292747313,2639.7423590239932,2799.0545189858067,2798.2207868878722,1815.5320429999633,1287.6056421572118
30.89505280309761,30.852246803097607,507.7480349014478,568.2346689039862,823.9020938385133,983.3716583086253,1367.9092483237469,2223.3345442157597,2511.1889911986145,2543.2667282319303,2671.179461204703,2694.6246072358385,1975.3894052581145,1479.5371532879212
30.92632980309761,30.831635803097612,444.04928743817294,519.7756037071684,783.5418816419316,942.9765570530104,1295.6262952513378,2191.5287618130533,2511.367649603395,2543.1785560152002,2671.530462361769,2678.9087302133053,1966.673877878368,1488.0426066554169
30.95757980309761,30.779079803097613,435.9139763354975,559.1887999620393,815.2592109479389,1039.6930719248405,1359.5554456277243,2063.603126872973,2288.138325745211,2352.304970600756,2448.373516167325,2440.6490872210957,2031.66584703683,1551.3120097632643
30.99910780309761,30.755329803097613,483.40397264828766,583.8308479479945,839.8366994460699,1007.8874453939725,1358.6260725422158,2063.133332502058,2287.8916925224416,2320.149837133551,2416.0369666138104,2422.890329104615,1967.9925900302226,1454.911769607525
31.03955280309761,30.73169080309761,403.44197339030796,535.3318626867097,791.3690594670003,951.8331459083033,1287.49010469409,1967.97804773827,2159.638940632465,2223.15544885952,2319.535999629953,2343.8719946981505,1927.5242767267484,1415.2450413005738
31.08166380309761,30.72385780309761,428.0301330122065,551.3154494393787,791.5754849037926,1007.3223773993545,1295.4147430217758,1839.6562686486186,2064.074944650622,2095.5591094374468,2191.4771439884294,2246.733954952773,1911.7508242568288,1479.5519425874952
31.09721880309761,30.679635803097607,465.5337192408971,615.6451220818606,855.6297677121531,1079.6230040512496,1367.5091171100098,1871.5813364941055,2095.9692879777135,2128.2966760854374,2224.025227115148,2247.993332085139,2063.6914596528377,1647.213521497959
31.139607803097608,30.641357803097613,433.8859574560044,547.6282625286186,787.6005315099777,951.57737605666,1255.8454984747605,1863.7937652201376,2087.637790583377,2151.727652595729,2231.7258549417515,2247.7072710735392,1879.585702216107,1399.6282525251283
31.17849680309761,30.596357803097607,445.5095311421443,531.6789013973713,771.525421455082,839.2139223580908,1223.5515883304865,2071.6515926528723,2391.2451170240747,2447.9788980545172,2583.110485418134,2599.425518827557,1943.5480950378703,1319.3470749700869
31.203496803097607,30.565440803097612,441.6178854243999,539.6397807810393,791.5431589721801,887.5570029350658,1271.521934687014,2031.7624963569062,2287.6796815846064,2351.7980918622184,2479.9858124091543,2479.9455183317646,2039.2828248635383,1463.4894275210088
31.22044080309761,30.52757980309761,483.7720514480436,567.1807792721249,855.354530305706,975.7179103054189,1391.3392957290102,2223.3371712814815,2479.957336416352,2543.5608159558687,2672.085686945772,2671.216649048168,2199.9053187836225,1607.7105636743217
31.260357803097612,30.51438580309761,499.25367231638415,579.2343238795858,855.6403126199365,951.223528468324,1399.476236351959,2191.5586431878787,2479.6236816937194,2543.1424499510545,2671.529925463428,2671.583094283124,2183.723597980232,1575.082944303653
